HGNC gene	Residual Variation Intolerance Score	Residual Variation Intolerance Score Percentile
CDCA7	-0.692458599	14.96815287
CHRM1	-0.692458599	14.96815287
CHRNB2	-0.692458599	14.96815287
CYP17A1	-0.692458599	14.96815287
DYNC1LI2	-0.692458599	14.96815287
EIF5	-0.692458599	14.96815287
FOSL2	-0.692458599	14.96815287
GABRB2	-0.692458599	14.96815287
GDAP1	-0.692458599	14.96815287
HDAC1	-0.692458599	14.96815287
IL1RN	-0.692458599	14.96815287
ILK	-0.692458599	14.96815287
LYN	-0.692458599	14.96815287
MAP2K5	-0.692458599	14.96815287
NOVA1	-0.692458599	14.96815287
SKP2	-0.692458599	14.96815287
SLC30A7	-0.692458599	14.96815287
SNX2	-0.692458599	14.96815287
SRC	-0.692458599	14.96815287
STXBP1	-0.692458599	14.96815287
WASL	-0.692458599	14.96815287
ZNF483	-0.692458599	14.96815287
CRTC2	-0.690637458	15.12149092
DOK1	-0.690637458	15.12149092
ERLEC1	-0.690637458	15.12149092
FBXO11	-0.690637458	15.12149092
KHSRP	-0.690637458	15.12149092
KLHL8	-0.690637458	15.12149092
MCOLN3	-0.690637458	15.12149092
MMAA	-0.690637458	15.12149092
OR56A1	-0.690637458	15.12149092
PDIA6	-0.690637458	15.12149092
PNLIP	-0.690637458	15.12149092
PPWD1	-0.690637458	15.12149092
RABEP2	-0.690637458	15.12149092
RB1	-0.690637458	15.12149092
REL	-0.690637458	15.12149092
RELA	-0.690637458	15.12149092
RXRA	-0.690637458	15.12149092
SMURF2	-0.690637458	15.12149092
SSX2IP	-0.690637458	15.12149092
TINAGL1	-0.690637458	15.12149092
TOM1L1	-0.690637458	15.12149092
TUBA3D	-0.690637458	15.12149092
VPS35	-0.690637458	15.12149092
WWP1	-0.690637458	15.12149092
ZNF174	-0.690637458	15.12149092
ZNF621	-0.690637458	15.12149092
ACRBP	-0.688817379	15.20405756
ATP6V0A1	-0.688817379	15.20405756
CREB3L2	-0.688817379	15.20405756
FERMT2	-0.688817379	15.20405756
NOL9	-0.688817379	15.20405756
PDE8B	-0.688817379	15.20405756
PDS5A	-0.688817379	15.20405756
PRSS53	-0.688817379	15.20405756
RASA2	-0.688817379	15.20405756
SEPT8	-0.688817379	15.20405756
SLC24A5	-0.688817379	15.20405756
SPRED2	-0.688817379	15.20405756
XPOT	-0.688817379	15.20405756
ZBTB17	-0.688817379	15.20405756
ESF1	-0.686998355	15.26893135
MARK3	-0.686998355	15.26893135
NCAM2	-0.686998355	15.26893135
NCL	-0.686998355	15.26893135
PDE4B	-0.686998355	15.26893135
PIAS4	-0.686998355	15.26893135
RGL2	-0.686998355	15.26893135
STAT6	-0.686998355	15.26893135
UGT1A9	-0.686998355	15.26893135
UNC5D	-0.686998355	15.26893135
UPB1	-0.686998355	15.26893135
MYH8	-0.685494642	15.27482897
ASPSCR1	-0.685180376	15.32200991
DUS3L	-0.685180376	15.32200991
DZIP1	-0.685180376	15.32200991
ECE1	-0.685180376	15.32200991
KCNQ1	-0.685180376	15.32200991
MME	-0.685180376	15.32200991
POLR3E	-0.685180376	15.32200991
WDR63	-0.685180376	15.32200991
APLP1	-0.683363435	15.36329323
CHRD	-0.683363435	15.36329323
DTX2	-0.683363435	15.36329323
KIT	-0.683363435	15.36329323
LRRC33	-0.683363435	15.36329323
ODF2	-0.683363435	15.36329323
TRPV6	-0.683363435	15.36329323
PRRC2C	-0.681886476	15.36919085
FAM65A	-0.681547523	15.38098608
ZCCHC6	-0.681547523	15.38098608
MYOCD	-0.679732631	15.39278132
VIT	-0.679732631	15.39278132
CEP128	-0.677918753	15.39867893
PCDHA3	-0.676105878	15.40457655
GLDC	-0.674294	15.41047417
PREX2	-0.672483109	15.41637179
COL6A6	-0.671084654	15.4222694
ACTB	-0.670411825	15.61689078
ARRB2	-0.670411825	15.61689078
CERS1	-0.670411825	15.61689078
CLK3	-0.670411825	15.61689078
CORO1C	-0.670411825	15.61689078
CREB5	-0.670411825	15.61689078
EEF1A2	-0.670411825	15.61689078
EIF2AK2	-0.670411825	15.61689078
FAHD2A	-0.670411825	15.61689078
FAM175B	-0.670411825	15.61689078
HDAC11	-0.670411825	15.61689078
HECA	-0.670411825	15.61689078
HIST1H2AA	-0.670411825	15.61689078
HIST1H2AB	-0.670411825	15.61689078
HOOK3	-0.670411825	15.61689078
KBTBD2	-0.670411825	15.61689078
KCNC1	-0.670411825	15.61689078
KLF15	-0.670411825	15.61689078
MARCH4	-0.670411825	15.61689078
MKRN2	-0.670411825	15.61689078
NTNG1	-0.670411825	15.61689078
PCBP3	-0.670411825	15.61689078
PPP2R2C	-0.670411825	15.61689078
PRKAA2	-0.670411825	15.61689078
PROX1	-0.670411825	15.61689078
RCC2	-0.670411825	15.61689078
RGS6	-0.670411825	15.61689078
SYT7	-0.670411825	15.61689078
TAB3	-0.670411825	15.61689078
TRMT61A	-0.670411825	15.61689078
WNT7A	-0.670411825	15.61689078
XRCC6	-0.670411825	15.61689078
ZFP82	-0.670411825	15.61689078
CPSF2	-0.66859065	15.76433121
DLG4	-0.66859065	15.76433121
DOK4	-0.66859065	15.76433121
FBXL7	-0.66859065	15.76433121
GALNT9	-0.66859065	15.76433121
GFOD2	-0.66859065	15.76433121
GLRA3	-0.66859065	15.76433121
KCNQ4	-0.66859065	15.76433121
KCTD3	-0.66859065	15.76433121
KIF3B	-0.66859065	15.76433121
NOL4	-0.66859065	15.76433121
NXF1	-0.66859065	15.76433121
PAG1	-0.66859065	15.76433121
PFKFB2	-0.66859065	15.76433121
PGD	-0.66859065	15.76433121
PPP5C	-0.66859065	15.76433121
RBM10	-0.66859065	15.76433121
RFC4	-0.66859065	15.76433121
SCG2	-0.66859065	15.76433121
SGTA	-0.66859065	15.76433121
SLC1A3	-0.66859065	15.76433121
SYNGR1	-0.66859065	15.76433121
TIPARP	-0.66859065	15.76433121
TREX1	-0.66859065	15.76433121
TUBG2	-0.66859065	15.76433121
ATG16L2	-0.666770504	15.86459071
CDKL5	-0.666770504	15.86459071
CYP2J2	-0.666770504	15.86459071
GPR132	-0.666770504	15.86459071
KCNQ2	-0.666770504	15.86459071
LRRC49	-0.666770504	15.86459071
MAB21L3	-0.666770504	15.86459071
MAPK6	-0.666770504	15.86459071
NDNF	-0.666770504	15.86459071
NFIC	-0.666770504	15.86459071
ORC5	-0.666770504	15.86459071
PGAP1	-0.666770504	15.86459071
SESN2	-0.666770504	15.86459071
SLC5A3	-0.666770504	15.86459071
SLC9A8	-0.666770504	15.86459071
SNX33	-0.666770504	15.86459071
ZNF416	-0.666770504	15.86459071
ASXL3	-0.66524926	15.87048832
AAK1	-0.664951379	15.91177164
DPY19L3	-0.664951379	15.91177164
MMP3	-0.664951379	15.91177164
PIAS3	-0.664951379	15.91177164
PSMD2	-0.664951379	15.91177164
PTH2R	-0.664951379	15.91177164
WDR34	-0.664951379	15.91177164
EDEM3	-0.663133267	15.94715735
ENTPD4	-0.663133267	15.94715735
HSPA12A	-0.663133267	15.94715735
KIAA0408	-0.663133267	15.94715735
METTL13	-0.663133267	15.94715735
NPAS4	-0.663133267	15.94715735
CABIN1	-0.661638049	15.95305497
CADPS2	-0.661316159	16.02382637
CCDC15	-0.661316159	16.02382637
CPT1B	-0.661316159	16.02382637
FAM69B	-0.661316159	16.02382637
GALNTL2	-0.661316159	16.02382637
GANAB	-0.661316159	16.02382637
MMP15	-0.661316159	16.02382637
MUM1	-0.661316159	16.02382637
NUAK2	-0.661316159	16.02382637
PARP12	-0.661316159	16.02382637
PDLIM7	-0.661316159	16.02382637
TGFBI	-0.661316159	16.02382637
AP4E1	-0.659500046	16.07100731
BAZ1A	-0.659500046	16.07100731
CBX2	-0.659500046	16.07100731
DNAJC6	-0.659500046	16.07100731
HAL	-0.659500046	16.07100731
IBTK	-0.659500046	16.07100731
OSBPL3	-0.659500046	16.07100731
SEMA3G	-0.659500046	16.07100731
TDRD6	-0.658030559	16.07690493
CATSPERG	-0.657684922	16.09459778
MMEL1	-0.657684922	16.09459778
PLOD1	-0.657684922	16.09459778
AARS	-0.655870776	16.12408587
CNGA3	-0.655870776	16.12408587
ERBB3	-0.655870776	16.12408587
PMFBP1	-0.655870776	16.12408587
TTBK2	-0.655870776	16.12408587
ADAMTS3	-0.654057602	16.14177872
KIF1C	-0.654057602	16.14177872
NUP210L	-0.654057602	16.14177872
FRMPD2	-0.65224539	16.15357396
LRRC16B	-0.65224539	16.15357396
MAPKBP1	-0.650434134	16.15947157
AKR1D1	-0.648365105	16.35999056
AKT2	-0.648365105	16.35999056
ATF7	-0.648365105	16.35999056
C15orf26	-0.648365105	16.35999056
CDC34	-0.648365105	16.35999056
CRLF1	-0.648365105	16.35999056
CYTH2	-0.648365105	16.35999056
DCAF8	-0.648365105	16.35999056
DGAT2L6	-0.648365105	16.35999056
ENC1	-0.648365105	16.35999056
EYA3	-0.648365105	16.35999056
F2R	-0.648365105	16.35999056
FXR1	-0.648365105	16.35999056
GATA3	-0.648365105	16.35999056
HIST1H4B	-0.648365105	16.35999056
HTR6	-0.648365105	16.35999056
IMPDH2	-0.648365105	16.35999056
KCTD7	-0.648365105	16.35999056
LMAN2L	-0.648365105	16.35999056
MAPKAPK2	-0.648365105	16.35999056
MATR3	-0.648365105	16.35999056
MFSD11	-0.648365105	16.35999056
PPP2R5D	-0.648365105	16.35999056
PTCD2	-0.648365105	16.35999056
SEPHS1	-0.648365105	16.35999056
SLC25A35	-0.648365105	16.35999056
SMEK1	-0.648365105	16.35999056
SSBP3	-0.648365105	16.35999056
STT3A	-0.648365105	16.35999056
TSPAN9	-0.648365105	16.35999056
VEZF1	-0.648365105	16.35999056
ZMPSTE24	-0.648365105	16.35999056
ZNF449	-0.648365105	16.35999056
ZNF689	-0.648365105	16.35999056
ABCD3	-0.646543901	16.44255721
CASP2	-0.646543901	16.44255721
DCLK1	-0.646543901	16.44255721
EBF3	-0.646543901	16.44255721
KBTBD4	-0.646543901	16.44255721
KCND2	-0.646543901	16.44255721
LMBR1L	-0.646543901	16.44255721
MCMBP	-0.646543901	16.44255721
NR1H3	-0.646543901	16.44255721
NR1I3	-0.646543901	16.44255721
RAF1	-0.646543901	16.44255721
RDH12	-0.646543901	16.44255721
RNF220	-0.646543901	16.44255721
SERPING1	-0.646543901	16.44255721
ZNF142	-0.645006008	16.44845482
CPNE6	-0.644723694	16.52512385
DNAJA3	-0.644723694	16.52512385
EXOC1	-0.644723694	16.52512385
GGT7	-0.644723694	16.52512385
IL1RAP	-0.644723694	16.52512385
RRM1	-0.644723694	16.52512385
SELENBP1	-0.644723694	16.52512385
SNPH	-0.644723694	16.52512385
SNRK	-0.644723694	16.52512385
STAT5A	-0.644723694	16.52512385
TRIM33	-0.644723694	16.52512385
VPS51	-0.644723694	16.52512385
ZBTB7B	-0.644723694	16.52512385
COL4A2	-0.643198486	16.53102147
ACSL6	-0.642904474	16.62538335
CASD1	-0.642904474	16.62538335
CHST6	-0.642904474	16.62538335
CTNNA2	-0.642904474	16.62538335
FBLN7	-0.642904474	16.62538335
GLT25D2	-0.642904474	16.62538335
HADHA	-0.642904474	16.62538335
ISLR	-0.642904474	16.62538335
RGMA	-0.642904474	16.62538335
SAMD4A	-0.642904474	16.62538335
SFMBT1	-0.642904474	16.62538335
STK32B	-0.642904474	16.62538335
TIGD7	-0.642904474	16.62538335
USP1	-0.642904474	16.62538335
ZC3H14	-0.642904474	16.62538335
ZNF433	-0.642904474	16.62538335
ALG12	-0.641086234	16.6784619
ATP8A1	-0.641086234	16.6784619
FAM40B	-0.641086234	16.6784619
QARS	-0.641086234	16.6784619
RBBP8	-0.641086234	16.6784619
RFTN1	-0.641086234	16.6784619
SLC16A3	-0.641086234	16.6784619
TMC1	-0.641086234	16.6784619
WRAP73	-0.641086234	16.6784619
ADAR	-0.639268965	16.70794999
GGA3	-0.639268965	16.70794999
MYO1D	-0.639268965	16.70794999
SH2D3C	-0.639268965	16.70794999
TACC1	-0.639268965	16.70794999
BRIP1	-0.637452658	16.73743808
CYP4F11	-0.637452658	16.73743808
PLCB3	-0.637452658	16.73743808
SMC2	-0.637452658	16.73743808
ZBTB40	-0.637452658	16.73743808
MYH13	-0.635977455	16.74333569
MEGF11	-0.635637306	16.76102854
PDGFRA	-0.635637306	16.76102854
SELO	-0.635637306	16.76102854
FNDC3B	-0.6338229	16.76692616
FREM2	-0.632876892	16.77282378
AKAP17A	-0.632009432	16.78461901
ENGASE	-0.632009432	16.78461901
BOD1L1	-0.63057096	16.79051663
CPS1	-0.630196893	16.8141071
CTC1	-0.630196893	16.8141071
MASP1	-0.630196893	16.8141071
UBR1	-0.630196893	16.8141071
EPHA2	-0.628385276	16.82000472
ARCN1	-0.626318434	17.03231894
ATXN7L3	-0.626318434	17.03231894
CAB39L	-0.626318434	17.03231894
CACUL1	-0.626318434	17.03231894
CCT2	-0.626318434	17.03231894
CPSF7	-0.626318434	17.03231894
CSTF3	-0.626318434	17.03231894
EIF4A3	-0.626318434	17.03231894
FBXW4	-0.626318434	17.03231894
FEM1C	-0.626318434	17.03231894
GJA5	-0.626318434	17.03231894
GOPC	-0.626318434	17.03231894
HARBI1	-0.626318434	17.03231894
HNRNPL	-0.626318434	17.03231894
KCNG1	-0.626318434	17.03231894
KIF3A	-0.626318434	17.03231894
KLHDC8B	-0.626318434	17.03231894
LRP2BP	-0.626318434	17.03231894
MAOB	-0.626318434	17.03231894
MAPK9	-0.626318434	17.03231894
MAPKAPK5	-0.626318434	17.03231894
METTL1	-0.626318434	17.03231894
MINPP1	-0.626318434	17.03231894
MMD2	-0.626318434	17.03231894
MYOZ1	-0.626318434	17.03231894
NR4A2	-0.626318434	17.03231894
NTN1	-0.626318434	17.03231894
PAPOLA	-0.626318434	17.03231894
SLC25A3	-0.626318434	17.03231894
SLC2A13	-0.626318434	17.03231894
SLC35E1	-0.626318434	17.03231894
STAG2	-0.626318434	17.03231894
SYT2	-0.626318434	17.03231894
TMEM57	-0.626318434	17.03231894
TTC39C	-0.626318434	17.03231894
ZNF791	-0.626318434	17.03231894
FREM1	-0.625172172	17.03821656
ARHGAP15	-0.624497208	17.16206653
BCS1L	-0.624497208	17.16206653
CALR	-0.624497208	17.16206653
CAMK2B	-0.624497208	17.16206653
CCDC47	-0.624497208	17.16206653
CKMT2	-0.624497208	17.16206653
CSTF2T	-0.624497208	17.16206653
DAO	-0.624497208	17.16206653
DCDC1	-0.624497208	17.16206653
EBF2	-0.624497208	17.16206653
ENAH	-0.624497208	17.16206653
ETV6	-0.624497208	17.16206653
KPNB1	-0.624497208	17.16206653
MEF2D	-0.624497208	17.16206653
PTBP3	-0.624497208	17.16206653
SLC23A3	-0.624497208	17.16206653
SLC35C2	-0.624497208	17.16206653
SLC35F3	-0.624497208	17.16206653
TAOK1	-0.624497208	17.16206653
TRIM23	-0.624497208	17.16206653
ZNF2	-0.624497208	17.16206653
PPAN-P2RY11	-0.622955869	17.16796414
ACTR8	-0.622676946	17.30950696
APLNR	-0.622676946	17.30950696
AR	-0.622676946	17.30950696
ATG13	-0.622676946	17.30950696
BTBD2	-0.622676946	17.30950696
CA12	-0.622676946	17.30950696
EIF3B	-0.622676946	17.30950696
FAM91A1	-0.622676946	17.30950696
ISYNA1	-0.622676946	17.30950696
MAPK8IP1	-0.622676946	17.30950696
MLLT1	-0.622676946	17.30950696
MMP24	-0.622676946	17.30950696
NFKBIZ	-0.622676946	17.30950696
P2RX2	-0.622676946	17.30950696
PHF21A	-0.622676946	17.30950696
PLCL2	-0.622676946	17.30950696
PTPN6	-0.622676946	17.30950696
RPUSD2	-0.622676946	17.30950696
SCO2	-0.622676946	17.30950696
SUPT16H	-0.622676946	17.30950696
TMEM168	-0.622676946	17.30950696
TOX	-0.622676946	17.30950696
VDR	-0.622676946	17.30950696
VIPR2	-0.622676946	17.30950696
AADACL4	-0.622676946	17.31540458
FBXO42	-0.620857637	17.3566879
HOOK1	-0.620857637	17.3566879
INTS2	-0.620857637	17.3566879
PHGDH	-0.620857637	17.3566879
PRDM5	-0.620857637	17.3566879
SLC36A1	-0.620857637	17.3566879
ZSCAN10	-0.620857637	17.3566879
ALOX12B	-0.619039275	17.39797122
CDH20	-0.619039275	17.39797122
EPC1	-0.619039275	17.39797122
ITGA4	-0.619039275	17.39797122
SEC14L1	-0.619039275	17.39797122
SEMA3C	-0.619039275	17.39797122
THRAP3	-0.619039275	17.39797122
ARHGAP24	-0.617221851	17.44515216
BACH2	-0.617221851	17.44515216
LARGE	-0.617221851	17.44515216
PAN2	-0.617221851	17.44515216
PRF1	-0.617221851	17.44515216
USP47	-0.617221851	17.44515216
WDR16	-0.617221851	17.44515216
WFIKKN2	-0.617221851	17.44515216
ATP6V0A2	-0.615405356	17.47464025
IGSF1	-0.615405356	17.47464025
MANBA	-0.615405356	17.47464025
NELL2	-0.615405356	17.47464025
SFMBT2	-0.615405356	17.47464025
MGA	-0.613924518	17.48053786
EML6	-0.613589782	17.49823071
ST18	-0.613589782	17.49823071
ZNF512B	-0.613589782	17.49823071
VPS13B	-0.610811433	17.50412833
KCNH6	-0.606336534	17.51002595
AP5Z1	-0.604525442	17.51592357
ADRA1B	-0.60427181	17.74593064
BAX	-0.60427181	17.74593064
BEST4	-0.60427181	17.74593064
BRAF	-0.60427181	17.74593064
C12orf4	-0.60427181	17.74593064
CA14	-0.60427181	17.74593064
CADM2	-0.60427181	17.74593064
CLRN1	-0.60427181	17.74593064
COL4A3BP	-0.60427181	17.74593064
FADS3	-0.60427181	17.74593064
FAM212B	-0.60427181	17.74593064
GATA1	-0.60427181	17.74593064
GNAT1	-0.60427181	17.74593064
HIST1H3E	-0.60427181	17.74593064
HMGCL	-0.60427181	17.74593064
HNRNPU	-0.60427181	17.74593064
IL1RAPL1	-0.60427181	17.74593064
IL2RA	-0.60427181	17.74593064
IRF2	-0.60427181	17.74593064
KHDRBS3	-0.60427181	17.74593064
LRRTM2	-0.60427181	17.74593064
MEF2B	-0.60427181	17.74593064
NDRG3	-0.60427181	17.74593064
NDUFS4	-0.60427181	17.74593064
OLFM1	-0.60427181	17.74593064
ONECUT2	-0.60427181	17.74593064
PAK1	-0.60427181	17.74593064
PAQR8	-0.60427181	17.74593064
PCID2	-0.60427181	17.74593064
PHYHIP	-0.60427181	17.74593064
RAB34	-0.60427181	17.74593064
RASL12	-0.60427181	17.74593064
RBMS3	-0.60427181	17.74593064
SLC39A1	-0.60427181	17.74593064
TERF1	-0.60427181	17.74593064
TGFB3	-0.60427181	17.74593064
TMOD2	-0.60427181	17.74593064
TOR1B	-0.60427181	17.74593064
XKR8	-0.60427181	17.74593064
TAF1L	-0.602715221	17.75182826
ACAP2	-0.602450568	17.91106393
ACPP	-0.602450568	17.91106393
ACR	-0.602450568	17.91106393
AFG3L2	-0.602450568	17.91106393
ALG3	-0.602450568	17.91106393
CD38	-0.602450568	17.91106393
CLDN14	-0.602450568	17.91106393
CYB5D2	-0.602450568	17.91106393
DEPDC1B	-0.602450568	17.91106393
ERG	-0.602450568	17.91106393
GDAP2	-0.602450568	17.91106393
GPR68	-0.602450568	17.91106393
HMOX1	-0.602450568	17.91106393
HNRNPF	-0.602450568	17.91106393
IRF4	-0.602450568	17.91106393
MTA3	-0.602450568	17.91106393
PDDC1	-0.602450568	17.91106393
PROC	-0.602450568	17.91106393
PSMD6	-0.602450568	17.91106393
RPAP2	-0.602450568	17.91106393
SERPINB9	-0.602450568	17.91106393
SERPINH1	-0.602450568	17.91106393
SGPP2	-0.602450568	17.91106393
TFEB	-0.602450568	17.91106393
TMEM87A	-0.602450568	17.91106393
TRNT1	-0.602450568	17.91106393
YIF1A	-0.602450568	17.91106393
PLCG2	-0.600905864	17.91696155
ADSL	-0.600630256	18.06440198
ANGPTL1	-0.600630256	18.06440198
ANKRD13A	-0.600630256	18.06440198
BEGAIN	-0.600630256	18.06440198
DDX1	-0.600630256	18.06440198
DRD2	-0.600630256	18.06440198
EFEMP2	-0.600630256	18.06440198
FOXJ2	-0.600630256	18.06440198
ISLR2	-0.600630256	18.06440198
KDM8	-0.600630256	18.06440198
KYNU	-0.600630256	18.06440198
OR2Z1	-0.600630256	18.06440198
OSBPL2	-0.600630256	18.06440198
PELI2	-0.600630256	18.06440198
POU4F2	-0.600630256	18.06440198
R3HDM2	-0.600630256	18.06440198
RPAP3	-0.600630256	18.06440198
SIGLEC7	-0.600630256	18.06440198
SLC29A2	-0.600630256	18.06440198
SLC6A4	-0.600630256	18.06440198
SRP72	-0.600630256	18.06440198
TRIM32	-0.600630256	18.06440198
WEE2	-0.600630256	18.06440198
WIPF1	-0.600630256	18.06440198
WLS	-0.600630256	18.06440198
ACD	-0.598810865	18.13517339
ACHE	-0.598810865	18.13517339
C5AR1	-0.598810865	18.13517339
CNOT3	-0.598810865	18.13517339
DCT	-0.598810865	18.13517339
GAN	-0.598810865	18.13517339
NCLN	-0.598810865	18.13517339
PTPN5	-0.598810865	18.13517339
RNF10	-0.598810865	18.13517339
RNF20	-0.598810865	18.13517339
RNPEP	-0.598810865	18.13517339
SDF4	-0.598810865	18.13517339
CD96	-0.596992387	18.18825195
CLPTM1L	-0.596992387	18.18825195
CYP1A2	-0.596992387	18.18825195
ELL	-0.596992387	18.18825195
EPB41	-0.596992387	18.18825195
IGSF21	-0.596992387	18.18825195
LRP12	-0.596992387	18.18825195
PPIL2	-0.596992387	18.18825195
SERPINF1	-0.596992387	18.18825195
CEP97	-0.595174814	18.21184242
LRRN1	-0.595174814	18.21184242
NLRC4	-0.595174814	18.21184242
SLC6A16	-0.595174814	18.21184242
PKDREJ	-0.593676906	18.21774003
CARD9	-0.593358137	18.22953527
ITGB6	-0.593358137	18.22953527
ABP1	-0.591542347	18.24722812
FAM160B2	-0.591542347	18.24722812
HLCS	-0.591542347	18.24722812
EMILIN3	-0.589727438	18.25902335
SPATA20	-0.589727438	18.25902335
KIF26B	-0.588263851	18.26492097
ERBB2	-0.5879134	18.28261382
ITGAM	-0.5879134	18.28261382
RIMS2	-0.5879134	18.28261382
ATL1	-0.582225231	18.44184949
C1QC	-0.582225231	18.44184949
C3orf45	-0.582225231	18.44184949
CA10	-0.582225231	18.44184949
CCDC64	-0.582225231	18.44184949
CDK9	-0.582225231	18.44184949
CLDN4	-0.582225231	18.44184949
CTNNB1	-0.582225231	18.44184949
DOK5	-0.582225231	18.44184949
DYNC1I2	-0.582225231	18.44184949
FIP1L1	-0.582225231	18.44184949
GK5	-0.582225231	18.44184949
GOT1	-0.582225231	18.44184949
HIST1H2AD	-0.582225231	18.44184949
JMJD6	-0.582225231	18.44184949
KCNJ2	-0.582225231	18.44184949
KIAA0907	-0.582225231	18.44184949
MPPED1	-0.582225231	18.44184949
PPARD	-0.582225231	18.44184949
RFC5	-0.582225231	18.44184949
SNX4	-0.582225231	18.44184949
STAP1	-0.582225231	18.44184949
STX4	-0.582225231	18.44184949
TMX1	-0.582225231	18.44184949
TPI1	-0.582225231	18.44184949
TSGA13	-0.582225231	18.44184949
TUBA1C	-0.582225231	18.44184949
ADPRHL2	-0.580403979	18.58928993
ALDOA	-0.580403979	18.58928993
ALDOC	-0.580403979	18.58928993
ASB4	-0.580403979	18.58928993
C5orf25	-0.580403979	18.58928993
CLCN3	-0.580403979	18.58928993
CRBN	-0.580403979	18.58928993
CUL2	-0.580403979	18.58928993
DDX39A	-0.580403979	18.58928993
FAM102A	-0.580403979	18.58928993
FAM217B	-0.580403979	18.58928993
FBLN5	-0.580403979	18.58928993
FBXL14	-0.580403979	18.58928993
NPY2R	-0.580403979	18.58928993
NTHL1	-0.580403979	18.58928993
PFKFB1	-0.580403979	18.58928993
SATB1	-0.580403979	18.58928993
SOGA3	-0.580403979	18.58928993
ST6GALNAC4	-0.580403979	18.58928993
SUFU	-0.580403979	18.58928993
THOC2	-0.580403979	18.58928993
TOB2	-0.580403979	18.58928993
USP39	-0.580403979	18.58928993
YTHDC1	-0.580403979	18.58928993
ZNF709	-0.580403979	18.58928993
ACAA2	-0.578583623	18.71903751
ALDH1A3	-0.578583623	18.71903751
ATG4D	-0.578583623	18.71903751
C2orf62	-0.578583623	18.71903751
CDKAL1	-0.578583623	18.71903751
CTSD	-0.578583623	18.71903751
DYNC1I1	-0.578583623	18.71903751
DYRK2	-0.578583623	18.71903751
FKBP8	-0.578583623	18.71903751
GNB5	-0.578583623	18.71903751
MAP3K12	-0.578583623	18.71903751
MGAT3	-0.578583623	18.71903751
MON1A	-0.578583623	18.71903751
MTG1	-0.578583623	18.71903751
NCSTN	-0.578583623	18.71903751
OPTN	-0.578583623	18.71903751
PUS7	-0.578583623	18.71903751
SEC63	-0.578583623	18.71903751
SLC13A4	-0.578583623	18.71903751
SPNS1	-0.578583623	18.71903751
SPRTN	-0.578583623	18.71903751
THUMPD2	-0.578583623	18.71903751
TRPM6	-0.577047007	18.72493513
CAMKK1	-0.576764155	18.7839113
FBXO24	-0.576764155	18.7839113
INTS4	-0.576764155	18.7839113
MKNK2	-0.576764155	18.7839113
NUBP2	-0.576764155	18.7839113
RCBTB1	-0.576764155	18.7839113
SLCO3A1	-0.576764155	18.7839113
STRN3	-0.576764155	18.7839113
SUSD4	-0.576764155	18.7839113
TBX4	-0.576764155	18.7839113
ADAMTS6	-0.574945567	18.90186365
ALDH8A1	-0.574945567	18.90186365
DCAF15	-0.574945567	18.90186365
GZF1	-0.574945567	18.90186365
INTS8	-0.574945567	18.90186365
MCM6	-0.574945567	18.90186365
OR4A15	-0.574945567	18.90186365
PLVAP	-0.574945567	18.90186365
POLK	-0.574945567	18.90186365
ROCK1	-0.574945567	18.90186365
SLC6A17	-0.574945567	18.90186365
SLC7A10	-0.574945567	18.90186365
SMO	-0.574945567	18.90186365
TUBA3C	-0.574945567	18.90186365
WDR1	-0.574945567	18.90186365
WRAP53	-0.574945567	18.90186365
XRN2	-0.574945567	18.90186365
ZC3H6	-0.574945567	18.90186365
ZNF398	-0.574945567	18.90186365
ZNF8	-0.574945567	18.90186365
ACE	-0.573431473	18.90776126
ACOX2	-0.573127851	18.96083982
DAGLA	-0.573127851	18.96083982
HSPH1	-0.573127851	18.96083982
ITFG3	-0.573127851	18.96083982
KIAA0240	-0.573127851	18.96083982
OPA1	-0.573127851	18.96083982
SH3RF1	-0.573127851	18.96083982
SNAP91	-0.573127851	18.96083982
TUBAL3	-0.573127851	18.96083982
GOLGA3	-0.571624906	18.96673744
ADAM15	-0.571310997	19.01391838
AIRE	-0.571310997	19.01391838
FNIP1	-0.571310997	19.01391838
OSBP2	-0.571310997	19.01391838
PIGN	-0.571310997	19.01391838
PLEKHM2	-0.571310997	19.01391838
PTCD3	-0.571310997	19.01391838
RNF31	-0.571310997	19.01391838
DAG1	-0.569494998	19.04340646
GRM8	-0.569494998	19.04340646
HEATR2	-0.569494998	19.04340646
INVS	-0.569494998	19.04340646
SLC24A1	-0.569494998	19.04340646
PHKA2	-0.565865532	19.04930408
DENND3	-0.564052047	19.0552017
PWP2	-0.562239385	19.06699693
SASH1	-0.562239385	19.06699693
ACSL4	-0.560178693	19.30879925
BARHL2	-0.560178693	19.30879925
C15orf38	-0.560178693	19.30879925
CAMK2G	-0.560178693	19.30879925
CSNK1D	-0.560178693	19.30879925
DNAJA1	-0.560178693	19.30879925
EIF3D	-0.560178693	19.30879925
ESRRG	-0.560178693	19.30879925
FHIT	-0.560178693	19.30879925
FLT3LG	-0.560178693	19.30879925
GFOD1	-0.560178693	19.30879925
HABP4	-0.560178693	19.30879925
HAX1	-0.560178693	19.30879925
JRKL	-0.560178693	19.30879925
LPAR1	-0.560178693	19.30879925
MBTPS2	-0.560178693	19.30879925
MRPL2	-0.560178693	19.30879925
NMT1	-0.560178693	19.30879925
OPN5	-0.560178693	19.30879925
PLEKHF1	-0.560178693	19.30879925
